ID,Artista
1164,Enrico Papi
1165,Claudio Cecchetto
1166,Gruppo Italiano
1167,Michela Ollari
1168,Cimini
1169,Luca Dirisio
1170,Angelo Di Guardo
1171,Jesto
1172,Valeria Rossi
1173,Jalisse
1174,Giovanni Truppi
1175,Nino Manfredi
1176,I Segreti
1177,Giaime
1178,Ceneri
1179,Bianca Atzei
1180,Sally Cruz
1181,N.A.I.P.
1182,Alberto Fortis
1183,Caffellatte
1184,Nahaze
1185,Lando Fiorini
1186,La maschera
1187,La Municipàl
1188,Povia
1189,Foja
1190,Little Pieces of Marmelade
1191,Francesco Renga
1192,Mameli
1193,Entics
1194,Fabi Silvestri Gazzè
1195,Manuel Agnelli
1196,Meganoidi
1197,Skiantos
1198,Ma.Bra.
1199,Marnik
1200,In-Grid
1201,Vinai
1202,Triticum
1203,Molella
1204,LENTO VIOLENTO
1205,Deep Chills
1206,Claudio Villa
1207,Kaos
1208,Sangue Misto
1209,Tripolare
1210,Bruno Ferrara
1211,Gigi Finizio
1212,I Papaveri blu
1213,Gianni Togni
1214,I Cugini Di Campagna
1215,Marco Ferradini
1216,Vintage Violence
1217,Enrico Ruggeri
1218,Timoria
1219,Simone Cristicchi
1220,Michele Zarrillo
1221,Dik Dik
1222,Nino D'Angelo
1223,Ghemon
1224,Roberto Benigni
1225,Tazenda
1226,Giorgio Canali
1227,Riccardo Del Turco
1228,I Ratti Della Sabina
1229,Francesco Baccini
1230,Madh
1231,Eduardo De Crescenzo
1232,Giulia Ottonello
1233,Nicolò Carnesi
1234,Mario Venuti
1235,Moravagine
1236,Eugenio Bennato
1237,Giampi Daldello
1238,Cartoon Warriors
1239,Bugo
1240,Antonella Ruggiero
1241,Paola Turci
1242,Tricarico
1243,Giorgio Faletti
1244,Marco Destro
1245,Roberto Angelini
1246,Franco Bixio
1247,Studio 3
1248,L'orso
1249,Rezophonic
1250,Marina Rei
1251,I Camillas
1252,Moreno
1253,Fiorenzo Carpi
1254,Gatto Panceri
1255,Massimo Di Cataldo
1256,Marta Sui Tubi
1257,Familia band
1258,Odeon Boys
1259,Gian Piero Reverberi
1260,Claudio Lolli
1261,Umberto Bindi
1262,Bruno D'Andrea
1263,Mauro Ermanno Giovanardi
1264,Valerio Scanu
1265,Bianco
1266,Management Del Dolore Post-Operatorio
1267,L'Aura
1268,Riccardo Sinigallia
1269,Salmo & Noyz Narcos
1270,Rasty Kilo
1271,JUNIOR CALLY
1272,Gemitaiz & Madman
1273,Guè Pequeno
1274,Speranza
1275,Vaz Tè
1276,Nicola Siciliano
1277,Vale pain
1278,Disme
1279,Gomma
1280,GIALLORENZO
1281,I Giganti
1282,Area
1283,Diaframma
1284,Pierangelo Bertoli
1285,Folque
1286,Sergio Caputo
1287,Mistaman
1288,Massimo Volume
1289,CCCP Fedeli Alla Linea
1290,Gaznevada
1291,Calibro 35
1292,Pere Ubu
1293,Tuxedomoon
1294,Gang of Four
1295,Wire
1296,Wipers
1297,Gazebo Penguins
1298,Siekiera
1299,Be Forest
1300,The Pop Group
1301,Television
1302,VOINA
1303,OZONE DEHUMANIZER
1304,Frank La Tanica
1305,Claudio Bisio
1306,Chris Rea
1307,Mark Knopfler
1308,Beth Hart
1309,Joe Cocker
1310,Simply Red
1311,Vaya Con Dios
1312,Elephant Brain
1313,Nobraino
1314,Giorgio Canali & Rossofuoco
1315,Zibba & Almalibre
1316,Le Luci Della Centrale Elettrica
1317,Righeira
1318,Fine Before You Came
1319,I Hate My Village
1320,Motorpsycho
1321,Scisma
1322,Bud Spencer Blues Explosion
1323,Bobby Solo
1324,Nico Fidenco
1325,SPOOKYPBL
1326,Niky Savage
1327,Jennifer Rush
1328,Francesco Bianconi
1329,Vanilla Sky
1330,DONATELLA VIGGIANO
1331,DJ Fastcut
1332,En?gma
1333,Moder
1334,Assalti Frontali
1335,Brenno Itani
1336,Carlo Corallo
1337,Lou X
1338,Brokenspeakers
1339,Funk Shui Project
1340,Gemello
1341,Duplici
1342,Uochi Toki
1343,Fuera
1344,Delicatoni
1345,okgiorgio
1346,18K
1347,Ty1
1348,Quentin40
1349,Sxrrxwland
1350,Jesse the Faccio
1351,Silk City
1352,Perrie
1353,Madison Beer
1354,Rina Sawayama
1355,Leigh-anne
1356,Allie X
1357,Normani
1358,Tyla
1359,griff
1360,Elton John & Dua Lipa
1361,Anne-Marie
1362,Jess Glynne
1363,Jessie Ware
1364,Doja Cat
1365,Sophie Ellis-Bextor
1366,Angèle
1367,Girls Aloud
1368,Lady Gaga & Ariana Grande
1369,Sigrid
1370,slayyyter
1371,Dua Lipa & BLACKPINK
1372,Mimi Webb
1373,Clean Bandit
1374,Calvin Harris
1375,Brit Smith
1376,Charli XCX & Troye Sivan
1377,Florrie
1378,Julia Michaels
