ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog,ZIndex
102,Biagio Antonacci,114032,1227950,10.76837,2.46541,-0.35131
103,Articolo 31,94019,1749666,18.6095,2.97601,0.3952
104,Carmen Consoli,92026,1662808,18.06869,2.94804,0.3543
105,Cristina D'Avena,32313,695477,21.52246,3.11451,0.59769
106,Manga Boys,2948,20879,7.08002,2.08939,-0.90106
107,Caparezza,131260,5906547,44.99849,3.8286,1.64171
108,DJ Matrix,33250,337087,10.13764,2.41033,-0.43184
109,Edoardo Bennato,110858,1047278,9.44693,2.3463,-0.52545
110,Max Gazzè,89307,1187541,13.29714,2.66005,-0.06674
111,Emis Killa,48507,2743796,56.56378,4.05289,1.96963
112,Claudio Baglioni,103816,1160026,11.17375,2.49928,-0.30179
113,Lucio Battisti,206423,4133928,20.02639,3.04577,0.49719
114,Neffa,79752,1183576,14.84052,2.76257,0.08314
115,PSICOLOGI,39654,3063369,77.25051,4.35991,2.4185
116,Gigi D'Alessio,61327,738801,12.04671,2.56853,-0.20054
117,Luciano Ligabue,89698,3006515,33.51782,3.54147,1.22192
118,Enzo Draghi,2728,14915,5.46537,1.86646,-1.22699
119,Guè,50440,4348155,86.20279,4.46823,2.57687
120,Frah Quintale,78650,3796685,48.27255,3.89736,1.74224
121,Canova,26855,746706,27.80406,3.36051,0.95735
122,Franco Battiato,281258,6039154,21.47186,3.11226,0.5944
123,Angelo Branduardi,65214,1071114,16.42435,2.85786,0.22246
124,Max Pezzali,85202,940024,11.03275,2.48763,-0.31882
125,Fabri Fibra,100080,4676391,46.72606,3.86547,1.69561
126,CCCP – Fedeli Alla Linea,39301,1014250,25.80657,3.28864,0.85227
127,Marco Masini,69569,638595,9.17917,2.32034,-0.5634
128,Leon Faun,19394,1003369,51.73338,3.96524,1.84148
129,Franco126,31826,1232842,38.73572,3.68225,1.42774
130,Brunori Sas,49186,1417342,28.81537,3.39502,1.0078
131,Elio e le Storie Tese,92363,3432432,37.16201,3.64184,1.36866
132,Zucchero,341961,4503653,13.17003,2.65112,-0.07979
133,Rosa Chemical,32064,856048,26.69727,3.32133,0.90007
