ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog
13924,Simone Iuè,3318,29865,8.99819,2.3024
13925,Chorus - Brave,2005,14920,7.43768,2.1327
13926,Isa di Marzio,1530,7043,4.60026,1.72281
13927,Gio’ Gio’ Rapattoni,942,4922,5.21951,1.82769
13928,Emiliano Coltorti,1893,9870,5.21119,1.82635
13929,Richard Benson,3889,21055,5.41259,1.85826
13930,Prophilax,2724,141999,52.10972,3.97235
13931,Danny Metal,1200,4938,4.11157,1.6315
13932,Faust'o,8593,110946,12.9097,2.63258
13933,Domenico Biniano,375,1555,4.13563,1.6362
13934,Pino Scotto,1651,29097,17.61319,2.92387
13935,Bologna Violenta,5869,155066,26.41669,3.31115
13936,Vanadium,3322,50563,15.21606,2.786
13937,Fratello Metallo,3341,58744,17.57749,2.92195
13938,Giuseppe Masia,3113,10977,3.52504,1.50962
13939,Giovanni Block,1823,11517,6.31414,1.9898
13940,TheRivati,846,7601,8.97402,2.29998
13941,Erminio Sinni,1115,8556,7.66666,2.15948
13942,CLAVDIO,6732,71877,10.67533,2.45747
13943,TATUM RUSH,9372,111908,11.9394,2.56027
13944,Whitemary,9516,79178,8.31963,2.23212
13945,Lilly Meraviglia,2403,35891,14.9297,2.76818
13946,Duo bucolico,7697,89898,11.67809,2.53987
13947,Pellegrino,14724,95006,6.45202,2.00848
13948,The Jab,750,7024,9.35286,2.33726
13949,Omar Pedrini,1630,19826,12.15573,2.57685
13950,Tinturia,4222,63927,15.13781,2.78116
13951,Motel Connection,26055,203580,7.81317,2.17624
13952,PGR,9762,137536,14.08747,2.71386
13953,Marïna,999,8710,8.71,2.27315
13954,Comagatte,1153,7391,6.40467,2.00211
13955,palazzi d'oriente,3535,23900,6.75904,2.04885
13956,CRLN,1870,25979,13.88508,2.70035
13957,Provenzano,5817,20837,3.58147,1.52201
13958,Karmin Shiff,3343,12103,3.61931,1.53024
13959,Tracy Spencer,3821,29490,7.71585,2.16514
13960,Novecento,11061,79522,7.18875,2.10276
13961,Ferruccio Tagliavini,4733,16252,3.43303,1.48908
13962,Balli di Gruppo,3330,22181,6.65896,2.03587
13963,Billy More,23531,132162,5.61626,1.88953
13964,Mario Castelnuovo,1965,15098,7.67955,2.16096
13965,Ariadineve,849,6075,7.14705,2.09765
13966,Diana Est,3123,22776,7.29065,2.11512
13967,Elisa Rosselli,14272,345444,24.20262,3.22694
13968,Elisa Aramonte,585,7482,12.76791,2.62234
13969,Alessia Orlando,4480,59185,13.20798,2.6538
13970,Lucia Miccinilli,1195,9418,7.87458,2.18319
13971,Cartoon Family,1674,7361,4.39462,1.6854
13972,Rosselli Elisa,615,8945,14.5211,2.7422
13973,Federico Maria Saccani,459,2651,5.76304,1.91147
13974,Kate Kelly,4705,20714,4.40161,1.68669
13975,Luciana Vaona,112,398,3.52212,1.50898
13976,Liede,593,4984,8.39057,2.2397
13977,Fosco17,661,4140,6.25377,1.98152
13978,Alessio Bondì,2270,26646,11.73315,2.5442
13979,Umberto Tozzi & Raf,8135,31126,3.82571,1.57395
13980,Pago,2500,11557,4.62095,1.7265
13981,Serena Autieri,7810,62077,7.94738,2.19136
13982,Audioritratti,802,3844,4.78704,1.75562
13983,Mariella Nava,1340,9689,7.2252,2.1072
13984,Linda Martin,8321,40763,4.89822,1.77465
13985,Anne-Marie David,11738,95543,8.13893,2.21254
